N,result,diversion
100,0.975,0.0312644
600,0.916667,0.0303824
1100,0.921591,0.0248768
1600,0.925781,0.020238
2100,0.929167,0.0165207
2600,0.924038,0.0221622
3100,0.921774,0.0246731
3600,0.926042,0.0199511
4100,0.928659,0.0170769
4600,0.929348,0.0163226
5100,0.932598,0.0127806
5600,0.935938,0.00916694
6100,0.93668,0.00836663
6600,0.933712,0.0115722
7100,0.93662,0.00843188
7600,0.936513,0.00854663
8100,0.934259,0.0109797
8600,0.937064,0.00795381
9100,0.938736,0.0061582
9600,0.937891,0.00706539
10100,0.937748,0.00721907
10600,0.938561,0.00634574
11100,0.939865,0.00494999
11600,0.940948,0.00379289
12100,0.939566,0.00526953
12600,0.939782,0.00503887
13100,0.940267,0.00452
13600,0.939706,0.00512001
14100,0.939894,0.00491925
14600,0.940582,0.00418357
15100,0.939487,0.00535445
15600,0.938942,0.0059374
16100,0.94014,0.00465615
16600,0.940136,0.00466065
17100,0.941009,0.00372835
17600,0.941548,0.0031532
18100,0.941506,0.00319877
18600,0.942137,0.00252627
19100,0.942539,0.0020985
19600,0.942602,0.00203176
20100,0.941791,0.00289463
20600,0.941748,0.00294093
21100,0.941647,0.00304813
21600,0.941956,0.00271899
22100,0.941629,0.00306727
22600,0.942201,0.00245792
23100,0.943019,0.0015882
23600,0.942744,0.00188126
24100,0.94388,0.000675423
24600,0.943496,0.00108241
25100,0.943277,0.00131488
25600,0.943701,0.000864695
26100,0.943582,0.000990704
26600,0.943985,0.000563805
27100,0.943496,0.00108201
27600,0.94298,0.00163006
28100,0.942749,0.00187545
28600,0.942832,0.00178719
29100,0.942053,0.00261548
29600,0.942652,0.00197863
30100,0.942733,0.00189304
30600,0.942933,0.00168006
31100,0.943207,0.00138866
31600,0.943434,0.00114861
32100,0.943497,0.0010814
32600,0.943252,0.0013418
33100,0.943051,0.00155434
33600,0.943304,0.00128656
34100,0.943475,0.00110455
34600,0.943353,0.00123452
35100,0.943875,0.000680749
35600,0.944101,0.000440697
36100,0.944148,0.000390814
36600,0.94334,0.00124772
37100,0.944137,0.000402187
37600,0.943916,0.000636669
38100,0.944062,0.000482496
38600,0.943718,0.000847255
39100,0.94351,0.00106724
39600,0.943624,0.000946827
40100,0.944171,0.000366844
40600,0.943781,0.000780264
41100,0.9441,0.000442145
41600,0.944231,0.000303333
42100,0.944923,0.000429259
42600,0.945246,0.000771537
43100,0.945621,0.00116692
43600,0.945614,0.0011594
44100,0.946117,0.00169069
44600,0.945572,0.00111526
45100,0.945732,0.00128421
45600,0.945806,0.00136258
46100,0.946014,0.00158234
46600,0.946057,0.00162747
47100,0.946285,0.00186764
47600,0.946586,0.00218569
48100,0.946778,0.00238743
48600,0.946811,0.00242236
49100,0.946563,0.00216145
49600,0.946472,0.00206513
50100,0.946981,0.0026018
50600,0.94706,0.00268525
51100,0.947236,0.00287006
51600,0.946972,0.00259217
52100,0.947529,0.00317838
52600,0.947362,0.00300306
53100,0.947293,0.00293009
53600,0.947551,0.00320206
54100,0.947851,0.00351745
54600,0.948054,0.00373063
55100,0.948367,0.004059
55600,0.947797,0.00346021
56100,0.947995,0.00366823
56600,0.947681,0.00333858
57100,0.947942,0.00361311
57600,0.947786,0.00344938
58100,0.947784,0.00344678
58600,0.947675,0.00333208
59100,0.947166,0.00279638
59600,0.947127,0.00275517
60100,0.947005,0.00262702
60600,0.947463,0.00310902
61100,0.947259,0.00289404
61600,0.947078,0.00270383
62100,0.947283,0.00291932
62600,0.947045,0.00266887
63100,0.947286,0.00292295
63600,0.947386,0.00302814
64100,0.947231,0.00286488
64600,0.947175,0.00280596
65100,0.947139,0.00276816
65600,0.947142,0.00277106
66100,0.94722,0.00285354
66600,0.946997,0.00261861
67100,0.947113,0.00274026
67600,0.947374,0.00301578
68100,0.947283,0.00292016
68600,0.947558,0.00320943
69100,0.947449,0.0030948
69600,0.947432,0.00307628
70100,0.947236,0.00287036
70600,0.947061,0.00268591
71100,0.947205,0.00283725
71600,0.947451,0.00309666
72100,0.947347,0.00298755
72600,0.947348,0.00298866
73100,0.946956,0.00257566
73600,0.947283,0.00291932
74100,0.947318,0.00295638
74600,0.947353,0.00299293
75100,0.947387,0.003029
75600,0.947272,0.00290797
76100,0.94724,0.00287497
76600,0.947487,0.00313435
77100,0.947601,0.00325383
77600,0.947503,0.00315148
78100,0.947423,0.00306726
78600,0.947583,0.00323509
79100,0.947756,0.00341736
79600,0.947692,0.00334961
80100,0.947753,0.00341399
80600,0.947875,0.00354279
81100,0.947904,0.00357276
81600,0.948146,0.00382774
82100,0.948066,0.00374362
82600,0.947881,0.00354915
83100,0.947954,0.00362579
83600,0.947996,0.00367008
84100,0.948172,0.0038544
84600,0.947843,0.0035086
85100,0.947929,0.00359913
85600,0.948043,0.00371928
86100,0.948098,0.00377699
86600,0.948138,0.00381886
87100,0.948149,0.00383009
87600,0.948188,0.00387117
88100,0.948198,0.00388198
88600,0.948166,0.0038482
89100,0.948401,0.00409478
89600,0.948214,0.00389901
90100,0.948266,0.00395314
90600,0.948317,0.00400667
91100,0.948216,0.00390107
91600,0.948267,0.0039543
92100,0.948317,0.00400695
92600,0.948232,0.00391724
93100,0.948107,0.00378616
93600,0.948037,0.00371259
94100,0.947914,0.00358394
94600,0.948071,0.00374828
95100,0.947989,0.00366225
95600,0.947895,0.00356336
96100,0.947945,0.00361589
96600,0.948059,0.00373586
97100,0.948095,0.00377342
97600,0.948271,0.00395859
98100,0.948127,0.00380722
98600,0.948136,0.0038172
99100,0.948158,0.00384033
99600,0.948042,0.00371817